,Input qustion sentence,Actual sql Translation,Prideccted
7528,what is the position of player tobias lindberg?, select position from table where player = tobias lindberg , select position from table where player = ryan nat. 
7529,"how many totals have a bronze smaller than 3, a nation of zimbabwe, and a silver smaller than 6?", select count total from table where bronze < 3 and nation = zimbabwe and silver < 6 , select count total from table where bronze < 3 and nation = austria and silver < 6 
7530,what are incumbent william vandever's results?, select result from table where incumbent = william vandever , select result from table where incumbent = william william 
7531,what is the smallest crowd when the away team scored 10.18 (78)?, select min crowd from table where away team score = 10.18 (78) ," select min crowd from table where away team score = 18.12 , france "
7532,which city has 600kw 500kw erp ?, select city from table where erp (analog/ digital) = 600kw 500kw , select city from table where erp (analog/ digital) = 600kw division 
7533,what kind of animal corresponds to the accession number xp_852505.1?, select common name from table where accession number = xp_852505.1 , select common name from table where province = 
7534,what is the team of april 25?, select team from table where date = april 25 , select team from table where date = april 25 
7535,what was the outcome on 2 december 2012?, select outcome from table where date = 2 december 2012 , select outcome from table where date = 2 december 2012 
7536,what was the attendance for the week before 10 with a result of l 12-15, select attendance from table where week < 10 and result = l 12-15 , select attendance from table where week < 10 and result = l margin of 
7537,what was the earliest round for central florida?, select min round from table where team = central florida , select min round from table where team = central florida 
7538,what is the win/loss of coach peter german?, select win/loss from table where coach = peter german , select assists from table where district = louisiana 7 
7539,what loss was against the angels with a 50-31 record?, select loss from table where opponent = angels and record = 50-31 ," select loss from table where opponent = at the la 23, "
7540,what's the length with the version of album version?, select length from table where version = album version , select length from table where album = album version 
7541,what is the production code of the episode written by jeff filgo?, select max production code from table where written by = jeff filgo , select max production code from table where written by = jeff # 
7542,what was the highest number of goals when 2428 minutes were played?, select max goals from table where minutes = 2428 , select max goals from table where minutes = 2 
7543,how many tournament wins were at volvo masters andalucia?, select count no. from table where tournament = volvo masters andalucia ," select count no. from table where tournament = 22 27, 2005 "
7544,what is the city and region of the team in the dalhús arena?," select city, region from table where arena = dalhús ", select city / license from table where team = #1 
7545,name the record for black knights points 54, select record from table where black knights points = 54 , select record from table where field points = 54 32 
7546,what time is it for the southern home team?, select time from table where home team = southern , select time from table where home team = southern 
7547,who is the driver when the grid is 18?, select driver from table where grid = 18 , select driver from table where grid = 18 
7548,name the country for 188.77 market value, select country from table where market value (billion $) = 188.77 , select country from table where revenue 49 
7549,"which player played the years for jazz in 1995-2000, 2004-05"," select player from table where years for jazz = 1995-2000, 2004-05 ", select player from table where years for jazz = 2004-05 
7550,what is the away team's score when the home side scores 9.4 (58)?, select away team score from table where home team score = 9.4 (58) , select away team score from table where home team score = 9.8 (120) 
7551,what is the stadium name that has 144 as the runs?, select stadium from table where runs = 144 , select stadium from table where runs = wins 
7552,what is the tie number when the away team is lewes?, select tie no from table where away team = lewes , select tie no from table where away team = united 
7553,what is the rank for mar 17 when the april 21 rank is 10?, select mar 17 from table where april 21 = 10 ," select sum rank from table where april 21 = 10 and overall = april 10, total "
7554,what is the maximum number of tropical storms in the year that had exactly 34 deaths?, select max number of tropical storms from table where deaths = 34 , select max number of season from table where height = 34 
7555,what place did the party finish in the year when they earned 0.86% of the vote?, select place from table where % of popular vote = 0.86% , select place from table where % of household = mike 
7556,"what is the name in the uk, with a release date of december 1966?", select name from table where location = uk and release date = december 1966 , select name from table where location = september and release date = december 24 
7557,where was the game held where north melbourne was the away team?, select venue from table where away team = north melbourne , select venue from table where away team = north melbourne 
7558,which chassis did aguri suzuki drive with an entrant of larrousse f1?, select chassis from table where entrant = larrousse f1 and driver = aguri suzuki , select chassis from table where entrant = team 52 and driver = 52 
7559,what is the minimum top-10 when the open championship was the tournament and the wins greater than 0?, select min top-10 from table where tournament = the open championship and wins > 0 , select min top-10 from table where tournament = the open championship championship and wins > 0 
7560,what is the recnet with a class of b and the city of license of rouyn-noranda?, select recnet from table where class = b and city of license = rouyn-noranda , select recnet from table where city of license = a and class = (km²) 
7561,what is the name of the show that airs friday at 5:55pm?, select 05:55 pm from table where time = friday , select 9:00 from table where time = from table 
7562,"what date does the name (location) belyanitsky, ivanovo, and balino have?"," select date from table where name (location) = belyanitsky, ivanovo, and balino ", select date from table where name = difference and name = mike of points = caps 
7563,how many times is the athlete jin di and the total less than 118?, select count rank from table where athlete = jin di and total < 118 ," select count rank from table where athlete = athlete and athlete = < 27, "
7564,"what is date, when venue is ""taunton"", and when name is ""sc ganguly""?", select date from table where venue = taunton and name = sc ganguly , select date from table where venue = label and name = type of the episode 
7565,what is the latest result where a person from the philippines won?, select max year from table where nation represented = philippines , select max year from table where nation = 2007 
7566,"what is episode is ""bouncy ball""?"," select min total episodes from table where title = ""bouncy ball"" ", select min episodes from table where country = 1.6 from table where time = 
7567,"what is the production code of the episode titled ""lenny""?"," select max prod. code from table where title = ""lenny"" ", select max production code from table where title = tournament 
7568,"how many years had scores of 10–12, 6–1, 6–3?"," select count year from table where score = 10–12, 6–1, 6–3 ", select count year from table where score = 2005 and location = october 
7569,how many numbers were listed under area with a population of 240075 as of 2009?, select count area (km 2 ) from table where population census 2009 = 240075 , select count area (km 2 ) from table where population census 2009 = 0 
7570,what is the average frequency in mhz for stations with an erp w of 170?, select avg frequency mhz from table where erp w = 170 , select avg frequency mhz from table where erp w = call sign 
7571,how many burglary crimes were committed if the forcible rapes were 1233?, select burglary from table where forcible rape = 1233 , select count final from table where rating/share 26 = candidates = 45 
7572,how many laps does grid 4 have?, select laps from table where grid = 4 , select laps from table where grid = 4 
7573,"when was the episode titled ""cracked"" originally aired?"," select original air date from table where title = ""cracked"" "," select original air date from table where title = ""the "
7574,"what club has losses greater than 1, 4 for the wins, with points against less than 894?", select club from table where loses > 1 and wins = 4 and points against < 894 , select club from table where wins > 1 and against = 4 and losses < 4 
7575,what is the name of the director of the episode written by robin schwartz & robert tarlow?, select directed by from table where written by = robin schwartz & robert tarlow , select directed by from table where written by = jack & robert & top-10 
7576,what was on at 8:30 when dancing with the stars: the results was on at 9:30?, select 8:30 from table where 9:00 = dancing with the stars: the results , select 8:30 from table where 9:00 = the assists and the year = fastest fee 
7577,"what is score, when high points is ""luis scola (18)"", and when high rebounds is ""luis scola (11)""?", select score from table where high points = luis scola (18) and high rebounds = luis scola (11) , select score from table where high points = hamilton 13 high school and rating = place 
7578,name the city that has singapore changi airport, select city from table where airport = singapore changi airport , select city from table where airport = london airport 
7579,to which party does riley joseph wilson belong?, select party from table where incumbent = riley joseph wilson , select party from table where incumbent = mike joseph 
7580,how many players are there for mens singles when chen qi ma lin played mens doubles?, select count mens singles from table where mens doubles = chen qi ma lin , select count mens no location from table where mens doubles = sydney 20 circuit = game site = cincinnati 
7581,"what is circuit, when series is astc round 4?", select circuit from table where series = astc round 4 ," select circuit from table where series = 4 may 27, 2009 "
7582,where did south melbourne play?, select venue from table where away team = south melbourne , select venue from table where home team = south melbourne 
7583,"what is the title where the studio was rko, the role was dolly, and the year was later than 1943?", select title from table where year > 1943 and studio = rko and role = dolly , select title from table where year > 2005 and last time = < s 
7584,which opponent has an event of jungle fight 5?, select opponent from table where event = jungle fight 5 , select opponent from table where event = 5 
7585,what year were the latest elections?, select max first elected from table , select max first elected from table 
7586,what number truck is owned by stephen germain?, select # from table where listed owner(s) = stephen germain , select # from table where author = 45 
7587,"how many gains have a long greater than 8, with avg/g of 124.9?", select sum gain from table where long > 8 and avg/g = 124.9 , select sum long from table where gain > 8 and name = mike from 
7588,"which name has a years played of 2004–2008, and a date and opponent of 2/17/07 vs. purdue?", select name from table where years played = 2004–2008 and date and opponent = 2/17/07 vs. purdue , select name from table where years in the final = boston and result = lost 
7589,"what's the catalog number for a december 11, 2007 record from columbia formatted in a that's from canada?"," select catalog from table where label = columbia and date = december 11, 2007 and region = canada "," select catalog from table where label = columbia and date = december 19, 2007 and region = canada "
7590,which platforms can you play portal 2 on?, select platform(s) from table where game = portal 2 , select platform(s) from table where game = 2 
7591,what state had william bigler (d) as a successor), select state (class) from table where successor = william bigler (d) , select state (class) from table where successor = john j. pick # = by 
7592,what is the english title of the film from after 2003 directed by michael haneke?, select english title from table where year > 2003 and director' = michael haneke , select english title from table where year > 2003 and english = michael 11 
7593,when tim mack is on team usa what is the progressive total?, select progressive total from table where team usa = tim mack ," select max total from table where team champion = jim 23, league of record "
7594,what year was the film milagros submitted?, select year (ceremony) from table where original title = milagros , select year (ceremony) from table where original title = name = canadian from 
7595,"in 2007, how many points were won when more than 5 matches were played?", select count points won from table where year = 2007 and total matches > 5 , select count points won from table where won = 5 
7596,name the heat rank for senegal, select heat rank from table where country = senegal , select heat rank from table where country = bulgaria 
7597,how many bronze medals does south korea have?, select bronze from table where nation = south korea , select bronze from table where nation = south korea 
7598,"what were the last 10 meetings when the opponent's venue was mu, 11-7?"," select last 10 meetings from table where at opponent's venue = mu, 11-7 ", select last 10 meetings from table where at match = tony against 
7599,what was the size of the crowd when essendon was the away team?, select crowd from table where away team = essendon , select crowd from table where away team = essendon 
7600,what album has a year that's larger than 2001?, select album from table where year > 2001 , select album from table where year > 2001 
7601,what team was the player that received a penalty at time 32:17 playing for?, select team from table where time = 32:17 , select team from table where time = venue 
7602,"what's the isolation of the mountain peak with an elevation of 2705.793 = 8,875feet 2705m?"," select isolation from table where elevation = 2705.793 = 8,875feet 2705m ", select isolation from table where elevation = chris of of 
7603,what is the smallest 08-09 gp/jgp 2nd value when ws points equals 3197?, select min 08-09 gp/jgp 2nd from table where ws points = 3197 , select min age 2nd from table where team 1 = 2nd 
7604,what is the original air date for the episode written by peter ocko?, select original air date from table where written by = peter ocko , select original air date from table where written by = peter character 
7605,when rudolph kleberg (d) is the successor is the reason for vacancy?, select reason for vacancy from table where successor = rudolph kleberg (d) , select reason for vacancy from table where successor = jim w. incumbent and artist = peter 
7606,what country does robert allenby represent?, select country from table where player = robert allenby , select country from table where player = robert nicklaus 
7607,"what is the smallest bronze with a nation of west germany, and a gold larger than 0?", select min bronze from table where nation = west germany and gold > 0 , select min bronze from table where nation = west > 0 and nation = south korea 
7608,what result has miami dolphins as the opponent?, select result from table where opponent = miami dolphins , select result from table where opponent = miami 
7609,who has a roll value of 422?, select name from table where roll = 422 , select name from table where roll = 5th 
7610,what is the 2012 value with a 1r in 2011 in the australian open?, select 2012 from table where 2011 = 1r and tournament = australian open , select 2012 from table where 2011 = 1r and tournament = australian open 
7611,which season did not qualify for uefa competitions?, select season from table where against = did not qualify for uefa competitions , select season from table where position = not against and winners = jason 
7612,when did the game with north melbourne as the away team take place?, select date from table where away team = north melbourne , select date from table where away team = north melbourne 
7613,tell me the average laps for grid larger than 22, select avg laps from table where grid > 22 , select avg laps from table where grid > 22 
7614,what was john hildreth's speed?, select speed from table where rider = john hildreth , select speed from table where rider = john school/club 
7615,"with a mark of 46.47, what is the lowest heat?", select min heat from table where mark = 46.47 , select min heat from table where nation = chris money 
7616,"how many people directed ""a little death""?"," select count directed by from table where title = ""a little death"" "," select count director from table where title = ""the of tournament = story "
7617,how many games had 41 rushes and were than 197 yards?, select count games from table where rushes = 41 and yards < 197 , select sum games from table where city = date built and yards < 50 
7618,what is the home team with an away of leyton orient?, select home team from table where away team = leyton orient , select home team from table where away team = lola result = entrant writer 
7619,what is the attendance of the game against the houston oilers?, select attendance from table where opponent = houston oilers , select attendance from table where opponent = houston oilers 
7620,what is the highest apps of kairat after 2008 and a level smaller than 1?, select max apps from table where season > 2008 and team = kairat and level < 1 , select max apps from table where season > 2008 and team = big racing and year < 1 
7621,"which name has apparent magnitude smaller than 11.4, and r.a. (j2000) of 04h17m35.8s?", select name from table where apparent magnitude < 11.4 and r.a. ( j2000 ) = 04h17m35.8s , select name from table where money ( $ ) < local and country = minnesota 
7622,what was the starting position in the year before 1986?, select start from table where year < 1986 , select start from table where year < 2001 
7623,what league is entering this round with 24 clubs remaining?, select leagues entering at this round from table where clubs remaining = 24 , select clubs (kg) from table where losses = 15 
7624,"which city has a stadium of stadio artemio franchi, florence?"," select city from table where stadium = stadio artemio franchi, florence ", select city from table where stadium = 2nd 
7625,what is the party of the election in which robert bauman is the incumbent?, select party from table where incumbent = robert bauman , select party from table where incumbent = robert morris 
7626,what player has a span of 1997-2009?, select player from table where span = 1997-2009 , select player from table where span = 
7627,what colors does david langdon use?, select colours from table where owner = david langdon , select colors from table where name = david frank 
7628,in what year is australia/oceania listed?, select count year from table where continent = australia/oceania , select count year from table where enrollment = 
7629,which platform has an actual version of 0.8.29?, select platform from table where actual version = 0.8.29 , select platform from table where author = gpl and title = bruce 
7630,what date did the new york giants play as a visiting team?, select date from table where visiting team = new york giants , select date from table where visiting team = new york rangers 
7631,what is the location with a county of 30 hancock?, select location from table where county = 30 hancock , select county from table where county = 30 32 
7632,which venue did collingsworth play essendon in when they had the 3rd position on the ladder?, select venue from table where opponent = essendon and position on ladder = 3rd , select venue from table where opponent = @ pittsburgh and position = 2nd 
7633,name the romaji by your side ~hikari's theme~ (popup.version), select rōmaji from table where japanese translation = by your side ~hikari's theme~ (popup.version) , select japanese from table where japanese translation = assists or latin = res. 
7634,which race leader has a stage of 7?, select race leader from table where stage = 7 , select race title from table where stage = 7 
7635,how many losses have byes greater than 2?, select count losses from table where byes > 2 , select count losses from table where byes > 2 
7636,name the number in series for number 38, select min no. in series from table where no. overall = 38 , select min no. in series from table where no. > 38 
7637,what was the score when altrincham was home?, select score from table where home team = altrincham , select score from table where home team = hawthorn 
7638,name the fewest gold for tanzania with bronze less than 0, select min gold from table where nation = tanzania and bronze < 0 , select min gold from table where nation = 0 and total < 0 
7639,"what venue did melbourne storm played in rd 7, 2006?"," select venue from table where opponent = melbourne storm and round = rd 7, 2006 ", select venue from table where opponent = @ melbourne – 8 
7640,what was the score of the marco island tournament match when kathleen horvath won runner-up?, select score from table where outcome = runner-up and tournament = marco island , select score from table where outcome = runner-up and tournament = olympic games 
7641,what was the round in 1968?, select round from table where year = 1968 , select round from table where year = 1968 
7642,how many were the shares when the viewers reached 3.11 million?, select count share from table where viewers (millions) = 3.11 , select count written by from table where u.s. viewers (millions) = mike 
7643,who had the high rebounds when the score was w 105–95 (ot) and jason kidd (8) had the high assists?, select high rebounds from table where high assists = jason kidd (8) and score = w 105–95 (ot) , select high rebounds from table where high assists = pittsburgh (8) and score = l 2008 
7644,"what is the lowest tournaments, when name is ""baruto""?", select min tournaments from table where name = baruto , select min tournaments from table where name = from 
7645,name the record for may 3, select record from table where date = may 3 , select record from table where date = may 3 
7646,what year was the aircraft retired when it was replaced by 737-300s?, select retired from table where notes = replaced by 737-300s , select first from table where notes = table 
7647,what inverse subjunctive has — as the imperative and a subjunctive of se måchadn?, select inverse subjunctive from table where imperative = — and subjunctive = se måchadn , select pos. from table where class = from table where team = from 33 
7648,who was the opponent on july 29?, select opponent from table where date = july 29 , select opponent from table where date = july 29 
7649,name the party a for m. s. k. sathiyendran runner up, select party a from table where runner-up a = m. s. k. sathiyendran , select party a from table where runner-up a = william for 1998 
7650,the milford school has what division record?, select division record from table where school = milford , select division record from table where school = u.s. division 
7651,what is the number of wins when there are 7 points?, select wins from table where points = 7 , select wins from table where points = 7 
7652,what is the nation when the world rank is 6 and the birth date is 1971-07-31?, select nation from table where world rank = 6 and birth date = 1971-07-31 , select nation from table where rank of 6 = 6 and 2012 > 148 
7653,"who was the home team when the crowd was larger than 13,557?"," select home team from table where crowd > 13,557 ", select home team from table where crowd > segment and score = position 
7654,"if the scoring average is 72.46, what is the best finish?", select best finish from table where scoring average = 72.46 , select best finish from table where best finish = score 
7655,how many points occurred with a difference of 2 for position less than 4?, select count points from table where difference = 2 and position < 4 , select count points from table where difference = 4 and position < 2 
7656,what is the fleet number when the transmission is voith d863.4 and the engine is cummins isl?, select fleet # from table where transmission = voith d863.4 and engine = cummins isl , select fleet number from table where transmission = engine = engine and number of victory = 5 
7657,what was the record when the score was 11-10?, select record from table where score = 11-10 , select record from table where score = grizzlies 
7658,count the average diameter (km) which has ketian (yenisey r.) main evil goddess.?, select avg diameter (km) from table where name origin = ketian (yenisey r.) main evil goddess. , select avg diameter (km) from table where name station = standing e olympic model = dallas 
7659,what is the name of the player that was pick 15?, select player from table where pick # = 15 , select player from table where pick # = 15 
7660,what was the height of the player that had a 2008 club of iller bankasi?, select height from table where 2008 club = iller bankasi , select height from table where 2008 club = in away team = story 
7661,what is the score for the dams?, select points from table where team name = dams , select score from table where team = michigan 
7662,"which played has a drawn of 5, and a team of palmeiras, and a position smaller than 6?", select max played from table where drawn = 5 and team = palmeiras and position < 6 , select max played from table where drawn = 5 and position = 5 and played < 46 
7663,which runner(s)-up has a tournament of general foods pga seniors' championship?, select runner(s)-up from table where tournament = general foods pga seniors' championship , select runner(s)-up from table where tournament = general grand prix championship 
7664,when 255627 is the attendance what is the stadium?, select stadium from table where attendance = 255627 , select stadium from table where attendance = bye 
7665,what year was e. meyer the driver?, select year from table where driver = e. meyer , select year from table where driver = alex # 
7666,how many rebounds have a player of herb estes?, select count total rebounds from table where player = herb estes , select count rebounds from table where player = chris earnings 
7667,when did the metrostars have their first rookie of the year winner?, select min season from table where team = metrostars , select min season from table where team = #1 
7668,what was the district who had their first elected in 1966?, select district from table where first elected = 1966 , select district from table where first elected = 1966 
7669,what is the largest crowd size that had a home team score of 17.18 (120)?, select max crowd from table where home team score = 17.18 (120) , select max crowd from table where home team score = 18.12 (120) 
7670,which player had the score 71-72=143 in spain?, select player from table where score = 71-72=143 and country = spain , select player from table where score = 66 and country = spain 
7671,who did the team play on january 9?, select team from table where date = january 9 , select opponent from table where date = january 9 
7672,who is the opponent in the final of the match on 19 february 2006?, select opponent in the final from table where date = 19 february 2006 , select opponent from table where date = 19 february 2006 
7673,can you tell me the average december rhat has the opponent of @ toronto maple leafs?, select avg december from table where opponent = @ toronto maple leafs , select avg december from table where opponent = @ toronto maple leafs 
7674,what high assists have mcwilliams-franklin (22) as the high points?, select high assists from table where high points = mcwilliams-franklin (22) , select high assists from table where high points = name (10) 
7675,what is the name for seasons 1981 and an order more than 807?, select name from table where seasons = 1981 and order > 807 , select # from table where episode = the coach and number of seats > 13 
7676,what is the high rebound for june 9?, select high rebounds from table where date = june 9 , select high rebounds from table where date = june 9 
7677,"which time has a round larger than 2, and an opponent of jesse brock?", select time from table where round > 2 and opponent = jesse brock , select time from table where round > 2 and opponent = dallas oilers 
7678,what is the location/state of the race on the wanneroo raceway?, select location / state from table where circuit = wanneroo raceway , select location / state from table where circuit = tim 7 
7679,what was rudy harris' pick number in round 4?, select max pick from table where round = round 4 and player = rudy harris , select max pick from table where round = 4 and player = mike round 
7680,what was the total attendance in week 8?, select count attendance from table where week = 8 , select count attendance from table where week = 8 
7681,what timeslot received 0.673 viewers?, select timeslot from table where viewers (millions) = 0.673 , select timeslot from table where viewers (millions) = 
7682,what date had a result of l 23–17 in a week later than 7?, select date from table where week > 7 and result = l 23–17 , select date from table where week > 7 and result = l 7 
7683,this constellation with a ranking of 51 has how many percentages on record?, select count per­cent­age from table where rank = 51 , select count area from table where rank = 15 
7684,what is the average crowd size at all matches where the home team scored 6.12 (48)?, select avg crowd from table where home team score = 6.12 (48) , select avg crowd from table where home team score = 18.12 (120) 
7685,what is richard bachmann's pba team?, select pba team from table where player = richard bachmann ," select pos. from table where player = richard 27, "
7686,what was the earliest release for pathogen directed by sharon gosling?, select min release from table where director = sharon gosling and title = pathogen , select min release from table where director = alex title 
7687,which score had an opponent of chris evert-lloyd?, select score from table where opponent = chris evert-lloyd ," select score from table where opponent = chris 15, athlete "
7688,name the most against for minas gerais, select max against from table where team = minas gerais , select max against from table where team = #1 
7689,which golfer finished with a score of 70-71=141?, select player from table where score = 70-71=141 , select player from table where score = winning driver = min innings = victoria 
7690,"what was the first prize for the ftops xiii series with more than 5,291 entrants?"," select first prize from table where entrants > 5,291 and series = ftops xiii ", select first prize from table where series > unknown and min team = # of birth 
7691,"what is the nationality of the player named yahaya, who has as app(l/c/e) of 0 (0/0/0)?", select nat. from table where app(l/c/e) = 0 (0/0/0) and name = yahaya , select nat. from table where nat. = 0 and name = alex high of of = finale 
7692,what was the most recent race at kyalami with keke rosberg competing?, select max year from table where venue = kyalami and driver = keke rosberg , select max year from table where venue = gary and driver = tim attendance 
7693,"peter has a score greater than 5 in speed skating, what is the plat'num?", select min plat'num from table where discipline = speed skating and peter > 5 , select min year from table where set 5 > 3 and club = score 
7694,what is the original air date if the ratings is 1.92 million?, select original air date from table where ratings (millions) = 1.92 , select original air date from table where viewers (million) = from 
7695,what team was the away team when the home team scored 20.18 (138)?, select away team from table where home team score = 20.18 (138) , select away team from table where home team score = 
7696,which category was gene barry nominated in?, select category from table where result = nominated and nominee = gene barry , select category from table where result = nominated and nominee = ken no 
7697,"who was the opponent on november 26, 1989?"," select opponent from table where date = november 26, 1989 "," select opponent from table where date = november 26, 1989 "
7698,who had the smallest overall under 22?, select player from table where overall < 22 , select min overall from table where rank = 22 
7699,what is the score on january 23?, select score from table where date = january 23 , select score from table where date = january 23 
7700,"which home team has an attendance of 1,859?"," select home team from table where attendance = 1,859 ", select home team from table where attendance = against 
7701,who's the premier with in 1970, select premier from table where season = 1970 , select opponents from table where season = 1970 
7702,which venue was used on 12 september 1998?, select venue from table where date = 12 september 1998 , select venue from table where date = 12 september 1998 
7703,how many results are listed for shot pct where pa is 79?, select count shot pct. from table where pa = 79 , select count shot pct. from table where % of votes = 36 
7704,what is the status when points is 4595?, select status from table where points = 4595 , select status from table where points = year 
7705,how many points are listed when the position is 2?, select max points from table where position = 2 , select count points from table where position = 2 
7706,how many draws were there when there were 30 tries against?, select drawn from table where tries against = 30 , select drawn from table where tries against = 30 
7707,"which heat, semifinal or final has a time of 48.97?", select heat/semifinal/final from table where time = 48.97 , select money ( $ ) from table where time = for and episode = round 
7708,what was the first leg score for the match with a team 1 of panathinaikos?, select 1st leg from table where team 1 = panathinaikos , select 1st leg from table where team 1 = #1 
7709,what's the hdr output that has a name of name?," select hdr output ( exr , hdr, logluv , etc.) from table where name = name ", select max other < spouse from table where to name = (km²) 
7710,what entrant appeared in 1969?, select entrant from table where year = 1969 , select entrant from table where year = 1969 
7711,which power has a cbli identifier?, select power from table where identifier = cbli , select power from table where identifier = total 
7712,what was the multiplier of the processor with sspec number of slgpr(c0) and a release price of n/a?, select mult. from table where release price ( usd ) = n/a and sspec number = slgpr(c0) , select release from table where release price ( usd ) = no and launch price = w 
7713,who won 5th place when jean liatri augustine girsang won 4th place?, select 4th runner up from table where 3rd runner up = jean liatri augustine girsang , select 3rd runner up from table where 3rd singles = (km²) 
7714,who was the home team when burnley were the away team?, select home team from table where away team = burnley , select home team from table where away team = hawthorn 
7715,who was the lyricist for composer haewon park?, select lyricist(s) from table where composer(s) = haewon park , select major from table where song = park round lost = vacancy 
7716,"what are the highest attempts that have net yards less than 631, and 2 for the touchdowns?", select max attempts from table where net yards < 631 and touchdowns = 2 , select max yards from table where per value = score < 57 
7717,"what is the result of the sajc king's cup race, which has a weight heavier than 8.1?", select result from table where weight > 8.1 and race = sajc king's cup , select result from table where weight > 4 and name = jim opposing team = appearances 
7718,how many % same-sex marriages are there for the year 2008?, select count % same-sex marriages from table where year = 2008 , select count % max % year from table where year = 2008 
7719,what was the result of the election for georgia's 3rd district?, select result from table where district = georgia's 3rd , select result from table where district = louisiana 3rd 
7720,what was her giant slalom score when her overall was greater than 3 and her super g score was 12?, select giant slalom from table where overall > 3 and super g = 12 , select super g from table where g > 3 and overall = 12 
7721,what is the school when the team is new york yankees?, select school from table where team = new york yankees , select school from table where team = new york 
7722,what was the time of the person in lane 7?, select time from table where lane = 7 , select time from table where lane = 7 
7723,how many total gold medals did the nation ranked #3 receive?, select sum gold from table where rank = 3 , select sum gold from table where rank = 3 
7724,"competition of u.s championships, and a event of all around has what average year?", select avg year from table where competition = u.s championships and event = all around , select avg year from table where competition = world championships and event = 34 
7725,"what is the production number of ""rain of terror""?"," select min production no. from table where title = ""rain of terror"" ", select min production no. from table where title = overall 
7726,what was the lowest attendance at a game that had a score of 5-4 and a loss of williams (2-4)?, select min attendance from table where score = 5-4 and loss = williams (2-4) , select min attendance from table where score = montreal and loss = williams round 
7727,"which score has an outcome of runner-up, and a tournament of johannesburg?", select score from table where outcome = runner-up and tournament = johannesburg , select score from table where outcome = runner-up and tournament = wimbledon 
7728,what was the nationality of player picked no. 168?, select nationality from table where pick # = 168 , select nationality from table where pick # = drawn 
7729,what years did representative frank a. oliver serve?, select years from table where representative = frank a. oliver , select years from table where representative = scott frank % 
7730,who was the winning driver at okayama international circuit?, select winning driver from table where circuit = okayama international circuit , select winning driver from table where circuit = sum international 
7731,what is the venue where john zibnack was the runner-up?, select venue from table where runner-up = john zibnack , select venue from table where runner-up = john 2008 
7732,name the us dance when the year is more than 1985, select u.s. dance from table where year > 1985 , select sum money ( $ ) from table where year > 1985 
7733,what is the men's doubles for 2003?, select men's doubles from table where year = 2003 , select men's doubles from table where year = 2003 
7734,"what is the tournament on august 17, 2008?"," select tournament from table where date = august 17, 2008 "," select tournament from table where date = august 17, 2008 "
7735,what team had a qual 1 of 59.895?, select team from table where qual 1 = 59.895 , select team from table where qual 1 = alex 
7736,who won the 1973 democratic initial primary for queens of 19%?, select 1973 democratic initial primary from table where queens = 19% , select democratic democratic (in millions) from table where democratic = tim for and location = attendance 
7737,what player has 3 wins and ranks above 3rd?, select player from table where wins = 3 and rank > 3 , select player from table where wins = 3 and rank > 3 
7738,what resulted in a score of 22-21?, select result from table where score = 22-21 , select result from table where score = ] 
7739,name the region for automatic washing machine being 60.9%, select region from table where automatic washing machine = 60.9% , select region from table where duration = (league) and overall = #1 
7740,what is the final weight for contestant chris?, select final weight (kg) from table where contestant = chris , select final weight (kg) from table where contestant = 50 
7741,what score had a loss and record of 1-1?, select score from table where result = loss and record = 1-1 , select score from table where loss = @ toronto 
7742,what is the name of the minister from the party of minister for community safety and legal affairs?, select name from table where party = minister for community safety and legal affairs , select party from table where party = and district = clay and member = attendance 
7743,"what is part 3, when part 1 is ""frjósa""?", select part 3 from table where part 1 = frjósa , select part 3 from table where part 1 = title 
7744,name the screening started when it was completed 3 may 2006, select screening started from table where screening completed = 3 may 2006 , select stolen completed from table where time = 3 
7745,what was the date of the game with a loss of white (4-5)?, select date from table where loss = white (4-5) , select date from table where loss = loss in the race name 
7746,what is the average of games played with a percentage of 3.33% and less than 29 losses?, select avg played from table where percentage = 3.33% and lost < 29 , select avg played from table where lost = 29 and lost < 29 
7747,what was the score when the opponent was detroit pistons?, select score from table where opponent = detroit pistons , select score from table where opponent = detroit lions 
7748,how many party with candidates being john m. vorys (r) 61.5% jacob f. myers (d) 38.5%, select count party from table where candidates = john m. vorys (r) 61.5% jacob f. myers (d) 38.5% , select count party from table where candidates = john 4 (d) unopposed and incumbent = mike overall 
7749,"what was the average lead maragin for the dates administered of october 6, 2008?"," select avg lead maragin from table where dates administered = october 6, 2008 "," select avg lead frequency from table where dates administered = october 6, 2008 "
7750,what college did jim bennett attend?, select college from table where player = jim bennett , select college from table where player = jim watson 
7751,what is the number of votes for the party which got more than 28 seats?, select count votes from table where seats > 28 , select count votes from table where votes > 34 and votes > 1998 
7752,what was the score when the away team was norwich city?, select score 1 from table where away team = norwich city , select score from table where away team = date of birth = < sponsor 
7753,who ran in the district elections won by tom petri?, select candidates from table where incumbent = tom petri , select candidates from table where incumbent = tom elected 
7754,what was the 2006 population for the local government area of alexandrina council whose rank was smaller than 19?, select avg population 2006 census from table where local government area = alexandrina council and rank < 19 , select avg population census from table where rank = 19 and area of year < 57 
7755,"what is 1986, when 1978 is ""a"", when 1979 is ""a"", and when 1980 is ""1r""?", select 1986 from table where 1978 = a and 1979 = a and 1980 = 1r , select 1986 from table where 1986 = a and 2003 = 1r and 2005 = 1r 
7756,what is the church in the sub-parish of fresvik called?, select church name from table where sub-parish (sokn) = fresvik , select name of origin from table where max. value of the michigan = stroke 
